date_key,period_start_year,period_end_year,estimate_pct,ci95_lower_pct,ci95_upper_pct,indicator,population,stratum,unit,source_id,input_class,geography,denominator,method_note
2003/2004,2003,2004,12.2,11.5,12.9,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2006,2006,2006,13.7,12.5,15.0,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2009,2009,2009,15.9,15.1,16.6,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2010,2010,2010,15.7,15.0,16.4,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2012,2012,2012,16.3,15.5,17.1,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2014/2015,2014,2015,18.0,17.3,18.8,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2019/2020,2019,2020,18.8,18.0,19.6,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2022,2022,2022,18.8,18.1,19.6,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
2023,2023,2023,19.7,18.6,21.0,Obesity prevalence (BMI >= 30 kg/m2),Adults aged 18+ in Germany,Total,percent,RKI-GEDA-TREND-2025,official survey estimate,Germany,weighted adult survey population,Self-reported height and weight; directly age-standardized
